listing_id,property_id,list_date,status,list_price,listing_agent,description
L001,P482,2022-06-08,Active,62184040,Nathan Aguilar,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L002,P044,2023-03-17,Leased,64636975,Donna Mason,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L003,P378,2023-08-05,Sold,29741839,John Jacobson,Stunning security system and hardwood floors throughout highlight this home's appeal.
L004,P050,2023-11-02,Sold,51687439,Carrie Alexander,Relax in the exercise room or entertain in the granite countertops of this home.
L005,P920,2022-05-31,Sold,26069648,Alexis Curtis,"Modern design with bonus room, pool with sundeck, breakfast nook."
L006,P521,2022-11-25,Sold,12270894,Angela Stuart,Spacious layout with stone countertops and built-in shelving.
L007,P472,2022-11-08,Leased,82310529,Patrick Miller,Stunning security system and hardwood floors throughout highlight this home's appeal.
L008,P401,2023-05-16,Active,94838677,Pamela Martinez,"Charming property offering fireplace, pantry."
L009,P512,2022-09-08,Pending,57456970,Anthony Rowe,"Charming property offering fireplace, pantry."
L010,P491,2022-04-24,Leased,96179857,Jeffrey Anderson,"Modern design with bonus room, pool with sundeck, breakfast nook."
L011,P291,2023-07-23,Sold,72877763,Anthony Rowe,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L012,P231,2023-01-27,Active,31865416,Erin Barber,"Charming property offering fireplace, pantry."
L013,P636,2023-05-28,Sold,4093346,Angelica Harris,"Charming property offering fireplace, pantry."
L014,P367,2023-10-27,Sold,19364129,Fernando Ward,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L015,P640,2022-06-20,Leased,37440093,Paul Charles,Relax in the exercise room or entertain in the granite countertops of this home.
L016,P315,2022-04-04,Active,59840898,Steve Williams,"Modern design with bonus room, pool with sundeck, breakfast nook."
L017,P170,2022-05-23,Active,64332069,Patricia Moore,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L018,P836,2024-01-23,Pending,87337645,Julie Parrish,Spacious layout with stone countertops and built-in shelving.
L019,P502,2023-08-02,Pending,24363248,Cody Anderson,Enjoy the bonus room and stainless steel appliances in this lovely property.
L020,P882,2023-02-25,Active,16096034,Gabriel Fuller,Relax in the exercise room or entertain in the granite countertops of this home.
L021,P447,2024-02-06,Leased,22270613,Phillip Flores,"Charming property offering fireplace, pantry."
L022,P445,2023-09-06,Pending,42410077,Amy Campbell,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L023,P176,2022-04-20,Sold,81551066,Sandra Gallegos,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L024,P901,2022-09-21,Pending,55450919,Heather Simon,Enjoy the bonus room and stainless steel appliances in this lovely property.
L025,P257,2022-07-27,Leased,77409925,Trevor Bennett,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L026,P697,2022-07-03,Leased,87940153,Amber Rodriguez,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L027,P416,2023-01-03,Leased,86423613,Rhonda Roberts,Stunning security system and hardwood floors throughout highlight this home's appeal.
L028,P392,2023-03-08,Pending,92693972,Tara Wallace,Stunning security system and hardwood floors throughout highlight this home's appeal.
L029,P810,2023-02-24,Leased,4502839,Stephanie Turner,Enjoy the bonus room and stainless steel appliances in this lovely property.
L030,P182,2023-11-16,Pending,96536392,Jeff Roberts,Spacious layout with stone countertops and built-in shelving.
L031,P130,2023-07-03,Sold,58799757,Sarah Clark,Stunning security system and hardwood floors throughout highlight this home's appeal.
L032,P539,2023-02-21,Pending,2099742,Andrew Wilcox,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L033,P820,2023-12-17,Sold,79353706,Julie Olson,Relax in the exercise room or entertain in the granite countertops of this home.
L034,P360,2022-06-23,Pending,73401507,Tina Barajas,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L035,P911,2023-10-02,Leased,8816083,Henry Jones,Relax in the exercise room or entertain in the granite countertops of this home.
L036,P788,2023-07-03,Leased,8821266,Joe Allen,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L037,P217,2022-06-28,Leased,80074012,Amy Molina,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L038,P979,2023-12-08,Sold,82034191,Tiffany Thornton,Enjoy the bonus room and stainless steel appliances in this lovely property.
L039,P816,2022-04-26,Pending,94437820,Julia Kirby,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L040,P602,2023-01-31,Sold,62289062,Justin Wallace,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L041,P501,2023-03-08,Sold,70148272,Robin Tate,"Modern design with bonus room, pool with sundeck, breakfast nook."
L042,P829,2023-10-06,Active,77285106,Alexander Nguyen,Stunning security system and hardwood floors throughout highlight this home's appeal.
L043,P258,2023-07-12,Leased,1134088,Dr. Marissa Gonzalez,"Charming property offering fireplace, pantry."
L044,P598,2023-01-17,Active,47182138,Joe Richardson,"Modern design with bonus room, pool with sundeck, breakfast nook."
L045,P784,2022-06-13,Active,42249444,Jacob Green,Stunning security system and hardwood floors throughout highlight this home's appeal.
L046,P647,2023-03-16,Active,74039486,Patricia Gilbert,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L047,P713,2023-01-19,Leased,6916137,Carla Irwin,"This beautiful home features energy-efficient windows, playroom, granite countertops, spacious living room."
L048,P533,2022-10-12,Pending,39840288,Ricky Palmer,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L049,P751,2022-08-01,Pending,39304711,Tina Valenzuela,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L050,P057,2022-05-20,Sold,82720848,Dr. Kayla Arnold,Impeccably maintained home with modern kitchen with stainless steel appliances and attached garage.
L051,P262,2023-03-29,Active,22317736,Brenda Evans,Relax in the exercise room or entertain in the granite countertops of this home.
L052,P633,2022-11-29,Leased,11162422,Brenda Cox,"Charming property offering fireplace, pantry."
L053,P947,2023-10-22,Leased,90197083,Nicholas Blanchard,"This property boasts energy-efficient windows, scenic views, luxurious master suite, finished basement, pool with sundeck, guest suite, custom cabinetry."
L054,P337,2023-09-29,Sold,95116139,Albert Anderson,Spacious layout with stone countertops and built-in shelving.
L055,P293,2022-12-20,Sold,12849268,Cynthia Harris,"Classic architecture meets contemporary style in this property featuring custom cabinetry, landscaped garden, home office space, finished basement, pool with sundeck, granite countertops."
L056,P813,2022-05-03,Active,36616074,Kimberly Graham,Spacious layout with stone countertops and built-in shelving.
